name,orbit_determination_date,first_observation_date,last_observation_date,data_arc_in_days,observations_used,orbit_uncertainty,minimum_orbit_intersection,epoch_osculation,eccentricity,semi_major_axis (AU),inclination (deg),ascending_node_longitude (deg),orbital_period (days),perihelion_distance (AU),perihelion_argument,aphelion_distance (AU),perihelion_time,mean_anomaly (deg),mean_motion (revs/year)
2022 BZ6,2022-04-02 05:50:35,2022-01-28,2022-04-01,63.0,47.0,6.0,0.33,2459600.5,0.44,1.97,24.33,108.68,1010.25,1.1,78.55,2.84,2459660.43,338.64,0.36
2022 GA4,2022-04-13 05:53:45,2022-04-07,2022-04-13,6.0,36.0,9.0,0.2,2459679.5,0.48,2.21,16.76,227.91,1201.95,1.14,45.77,3.28,2459761.07,335.57,0.3
162882 2001 FD58,2021-07-02 05:56:28,2000-04-12,2018-04-20,6582.0,396.0,0.0,0.03,2459600.5,0.58,1.09,6.5,341.18,416.97,0.46,46.0,1.72,2459779.94,205.08,0.86
2001 CQ36,2021-04-14 21:02:17,2001-02-13,2021-03-02,7322.0,153.0,0.0,0.01,2459600.5,0.18,0.94,1.26,30.68,331.94,0.77,344.55,1.1,2459494.36,115.11,1.08
2010 LM68,2021-05-10 05:53:35,2010-06-15,2021-05-10,3982.0,155.0,1.0,0.12,2459600.5,0.26,1.06,12.28,232.73,399.22,0.78,137.56,1.34,2459440.43,144.35,0.9
2015 SA,2021-04-15 14:40:52,2015-09-16,2015-10-15,29.0,177.0,6.0,0.01,2459600.5,0.25,0.84,13.19,352.08,281.15,0.63,207.78,1.05,2459704.56,226.76,1.28
2016 KC,2021-04-15 17:07:53,2016-05-13,2019-05-31,1113.0,44.0,0.0,0.04,2459600.5,0.28,1.32,9.69,61.28,553.07,0.96,121.47,1.68,2459685.31,304.8,0.65
2016 UO5,2021-04-15 17:57:25,2016-10-20,2016-11-05,16.0,32.0,7.0,0.07,2459600.5,0.2,0.9,6.67,208.57,311.02,0.72,1.53,1.08,2459706.0,237.88,1.16
2018 DN1,2021-04-15 20:23:27,2018-02-23,2020-05-20,817.0,65.0,0.0,0.03,2459600.5,0.4,1.61,2.72,130.5,746.37,0.97,59.41,2.25,2459691.83,315.95,0.48
2020 HY6,2021-04-15 22:25:36,2020-04-26,2020-04-30,4.0,58.0,7.0,0.01,2459600.5,0.43,0.74,9.37,36.49,231.59,0.42,16.34,1.06,2459568.66,49.49,1.55
2020 UA5,2021-04-15 23:13:33,2020-10-20,2020-11-21,32.0,60.0,7.0,0.06,2459600.5,0.32,1.12,8.32,30.01,430.78,0.76,114.87,1.47,2459669.73,302.14,0.84
2021 KH2,2022-03-22 05:49:27,2021-05-21,2021-11-26,189.0,86.0,2.0,0.01,2459600.5,0.02,1.03,12.29,240.92,380.44,1.01,62.55,1.05,2459420.55,170.29,0.95
66391 Moshup 1999 KW4,2022-04-05 05:53:13,1998-05-29,2021-08-22,8486.0,3690.0,0.0,0.01,2459600.5,0.69,0.64,38.88,244.9,188.05,0.2,192.65,1.08,2459693.18,182.57,1.91
452807 2006 KV89,2021-10-03 06:15:29,2006-05-28,2021-10-03,5607.0,143.0,0.0,0.01,2459600.5,0.27,1.15,3.55,71.7,450.33,0.84,87.79,1.46,2459675.13,300.34,0.8
