,Current Sat Longitude,Sat Name,NORAD Number,Launch date,TLE Source,Site,Org,Op,Current Lat,Lat drift 10 minutes,Lon drift 10 minutes,Longitude at Epoch,Lon Driftrate [deg pr.day],Inclination,E/W Lon Osc (Incl),E/W Lon Osc (Ecc),Apogee[km],Perigee[km],Altitude [km],ID
17,161.9967°E,SUPERBIRD-B3,43271,2018-04-05 00:00:00,CEL,FRGUI,JPN,+,   0.0320°N,0.000°N,0.000°E,162.0069°E,0.003°W,   0.013°,0.0000°,0.0090°,35791,35785,35784,2018-033A  
16,163.4618°E,YAMAL 202,28089,2003-11-24 00:00:00,CEL,TYMSC,CIS,+,  -1.7936°S,0.083°N,0.003°E,163.5378°E,0.000°W,   2.592°,0.0293°,0.0767°,35816,35760,35764,2003-053A  
529,165.9112°W,USA 149 (DSP 20),26356,2000-05-08 00:00:00,CEL,AFETR,US,+,   9.6510°N,0.309°N,0.018°E,165.9257°W,0.050°E,  12.070°,0.6361°,0.0127°,35789,35779,35786,2000-024A  
15,165.9851°E,INTELSAT 19 (IS-19) [PM],38356,2012-06-01 00:00:00,CEL,SEAL ,ITSO,+,   0.0331°N,0.000°S,0.001°E,165.9761°E,0.005°E,   0.008°,0.0000°,0.0345°,35800,35775,35774,2012-030A  
14,166.2102°E,INTELSAT 5 (IS-5),24916,1997-08-28 00:00:00,CEL,TYMSC,US,+,  -1.8322°S,0.306°N,0.017°W,166.1613°E,0.009°W,   7.193°,0.2259°,0.0382°,35802,35774,35781,1997-046A  
13,166.5631°E,TIANLIAN 1-02,37737,2011-07-11 00:00:00,CEL,XICLF,PRC,+,  -1.0298°S,0.091°N,0.038°E,167.1963°E,0.018°E,   2.271°,0.0225°,0.9665°,36143,35432,35464,2011-032A  
12,167.0084°E,LUCH 5A,37951,2011-12-11 00:00:00,CEL,TYMSC,CIS,+,  -3.8392°S,0.141°N,0.004°E,166.9347°E,0.007°W,   4.973°,0.1080°,0.0651°,35812,35764,35766,2011-074B  
530,168.0430°W,TDRS 5,21639,1991-08-02 00:00:00,CEL,AFETR,US,+,  13.1839°N,0.226°N,0.064°E,167.8024°W,0.034°E,  14.240°,0.8855°,0.2965°,35896,35678,35738,1991-054B  
11,169.0053°E,HORIZONS-3E,43633,2018-09-25 00:00:00,CEL,FRGUI,ITSO,+,  -0.0099°S,0.000°N,0.000°E,169.0085°E,0.002°W,   0.003°,0.0000°,0.0164°,35794,35782,35786,2018-074B  
531,169.5440°W,NSS-6,27603,2002-12-17 00:00:00,CEL,FRGUI,SES,+,  -0.5420°S,0.064°N,0.001°E,169.5280°W,0.003°W,   1.568°,0.0107°,0.0392°,35803,35774,35772,2002-057A  
10,171.0593°E,TIANLIAN 2-02,50005,2021-12-13 00:00:00,CEL,XICLF,PRC,+,   2.0562°N,0.072°S,0.002°E,171.0581°E,0.008°E,   2.588°,0.0293°,0.0358°,35800,35774,35772,2021-124A  
532,171.2996°W,TDRS 10,27566,2002-12-05 00:00:00,CEL,AFETR,US,+,   2.6626°N,0.335°N,0.016°W,171.5614°W,0.007°W,   8.171°,0.2916°,0.1089°,35828,35748,35754,2002-055A  
9,171.8766°E,UFO 4 (USA 108),23467,1995-01-29 00:00:00,CEL,AFETR,US,+,   5.5587°N,0.350°N,0.009°W,172.3068°E,0.002°E,   9.832°,0.4222°,0.0687°,35812,35762,35764,1995-003A  
8,171.9946°E,EUTELSAT 172B,42741,2017-06-01 00:00:00,CEL,FRGUI,EUTE,+,  -0.0119°S,0.000°N,0.000°W,171.9956°E,0.003°E,   0.010°,0.0000°,0.0020°,35788,35787,35786,2017-029B  
7,172.0855°E,UFO 8 (USA 138),25258,1998-03-16 00:00:00,CEL,AFETR,US,+,   3.6019°N,0.376°N,0.021°W,172.1753°E,0.024°E,   9.408°,0.3865°,0.0405°,35800,35770,35769,1998-016A  
6,173.9719°E,EUTELSAT 174A,28924,2005-12-29 00:00:00,CEL,TYMSC,EUTE,+,  -0.2625°S,0.016°N,0.003°E,173.9925°E,0.001°E,   0.467°,0.0010°,0.0703°,35814,35762,35761,2005-052A  
533,174.1215°W,TDRS 11,39070,2013-01-31 00:00:00,CEL,AFETR,US,+,   2.9269°N,0.018°N,0.007°E,174.1690°W,0.031°E,   2.946°,0.0379°,0.0839°,35816,35755,35753,2013-004A  
5,174.9990°E,WGS F7 (USA 263),40746,2015-07-24 00:00:00,CEL,AFETR,US,+,   0.0368°N,0.000°S,0.000°E,174.9819°E,0.012°E,   0.013°,0.0000°,0.0022°,35788,35786,35784,2015-036A  
4,175.9908°E,NSS-11 (AAP-1),26554,2000-10-01 00:00:00,CEL,TYMSC,SES,+,   0.0168°N,0.001°N,0.001°E,176.0046°E,0.001°E,   0.040°,0.0000°,0.0221°,35796,35780,35778,2000-059A  
3,176.5152°E,TIANLIAN 1-04,41869,2016-11-22 00:00:00,CEL,XICLF,PRC,+,  -0.0017°S,0.000°S,0.007°E,176.8787°E,0.002°E,   0.010°,0.0000°,0.3026°,35899,35676,35726,2016-072A  
534,176.9500°W,NSS-9,33749,2009-02-12 00:00:00,CEL,FRGUI,SES,+,   0.0392°N,0.000°S,0.001°E,176.9356°W,0.000°W,   0.017°,0.0000°,0.0217°,35796,35780,35778,2009-008A  
535,177.0583°W,YAMAL 300K,38978,2012-11-02 00:00:00,CEL,TYMSC,CIS,+,   0.0450°N,0.000°S,0.001°W,177.0505°W,0.004°W,   0.020°,0.0000°,0.0130°,35793,35783,35791,2012-061B  
536,177.4794°W,MUOS-2,39206,2013-07-19 00:00:00,CEL,AFETR,US,+,   1.7526°N,0.087°N,0.019°W,176.4817°W,0.006°W,   2.685°,0.0315°,0.5885°,36004,35571,35944,2013-036A  
2,177.8500°E,INTELSAT 10 (IS-10),26766,2001-05-15 00:00:00,CEL,TYMSC,US,+,  -1.4635°S,0.235°N,0.008°W,177.8247°E,0.003°W,   5.538°,0.1339°,0.0475°,35805,35770,35770,2001-019A  
1,178.5165°E,TJS-6,47613,2021-02-04 00:00:00,CEL,XICLF,PRC,+,  -0.0524°S,0.006°N,0.000°E,178.5367°E,0.011°W,   0.158°,0.0001°,0.0114°,35793,35784,35785,2021-010A  
0,179.5835°E,INMARSAT 5-F3,40882,2015-08-28 00:00:00,CEL,TYMSC,IM,+,   0.0429°N,0.000°S,0.000°W,179.5904°E,0.001°E,   0.021°,0.0000°,0.0032°,35789,35787,35786,2015-042A  
537,179.8176°W,USA 148,26052,2000-01-21 00:00:00,CEL,AFETR,US,+,   2.9469°N,0.392°N,0.027°W,179.9431°W,0.005°W,   9.511°,0.3950°,0.0106°,35791,35783,35781,2000-001A  
538,179.9977°W,INTELSAT 18 (IS-18) [PM],37834,2011-10-05 00:00:00,CEL,TYMSC,ITSO,+,   0.0448°N,0.000°N,0.001°E,179.9926°W,0.010°E,   0.024°,0.0000°,0.0186°,35794,35780,35779,2011-056A  
