,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
392,Kellen Davis,CHI,TE,25,16,3,0,0,0,0,0,0,2,1,19,19,0,0,0,0,0,0,0,0,19,1,8.9
393,Josh Johnson,TAM,QB,24,11,0,14,16,111,0,4,39,1,0,0,0,0,0,111,0,16,39,0,4,0,0,8.34
394,Brandon Myers,OAK,TE,25,15,3,0,0,0,0,0,0,16,12,80,6.67,1,0,0,0,0,0,0,0,80,0,20
395,Keith Toston,STL,RB,23,16,0,0,0,0,0,19,54,2,2,29,14.5,0,0,0,0,0,54,0,19,29,0,10.3
396,Darrel Young,WAS,RB,23,16,0,0,0,0,0,4,19,1,1,3,3,0,0,0,0,0,19,0,4,3,1,9.2
397,Khalif Barnes,OAK,TE,28,16,3,0,0,0,0,0,0,2,2,8,4,0,0,0,0,0,0,0,0,8,1,8.8
398,Kellen Clemens,NYJ,QB,27,1,0,1,2,6,0,2,9,0,0,0,0,0,0,6,0,2,9,1,2,0,0,7.14
399,Anthony Gonzalez,IND,WR,26,2,0,0,0,0,0,0,0,9,5,67,13.4,0,0,0,0,0,0,0,0,67,0,11.7
400,Dan Gronkowski,DEN,TE,25,12,4,0,0,0,0,0,0,13,8,65,8.13,0,0,0,0,0,0,0,0,65,0,14.5
401,Bear Pascoe,NYG,TE,24,15,11,0,0,0,0,0,0,13,9,72,8,0,0,0,0,0,0,0,0,72,0,16.2
402,Logan Paulsen,WAS,TE,23,11,0,0,0,0,0,0,0,2,2,10,5,0,0,0,0,0,0,0,0,10,1,9
403,Gijon Robinson,IND,TE,26,11,2,0,0,0,0,0,0,7,3,12,4,0,0,0,0,0,0,0,0,12,1,10.2
404,Kory Sperry,SDG,WR,25,7,1,0,0,0,0,0,0,4,4,73,18.25,0,0,0,0,0,0,0,0,73,0,11.3
405,Brian St. Pierre,CAR,QB,31,1,1,13,28,173,2,0,0,0,0,0,0,0,0,173,1,28,0,0,0,0,0,6.92
406,Brett Swain,GNB,WR,25,16,1,0,0,0,0,0,0,9,6,72,12,0,0,0,0,0,0,0,0,72,0,13.2
407,Josh Vaughan,CAR,RB,24,3,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,7,1,3,0,0,6.7
408,Kris Wilson,SDG,TE,29,14,7,0,0,0,0,0,0,0,6,73,12.17,1,0,0,0,0,0,0,0,73,0,13.3
409,Jason Wright,ARI,RB,28,15,1,0,0,0,0,6,28,16,8,42,5.25,1,0,0,0,0,28,0,6,42,0,15
410,Ramses Barden,NYG,WR,24,6,0,0,0,0,0,0,0,7,5,64,12.8,0,0,0,0,0,0,0,0,64,0,11.4
411,Tom Crabtree,GNB,TE,25,16,1,0,0,0,0,0,0,7,4,61,15.25,0,0,0,0,0,0,0,0,61,0,10.1
412,Tony Fiammetta,CAR,RB,24,14,9,0,0,0,0,7,22,10,5,34,6.8,0,0,0,0,0,22,0,7,34,0,10.6
413,Mardy Gilyard,STL,WR,24,11,2,0,0,0,0,0,0,16,6,63,10.5,1,1,0,0,0,0,0,0,63,0,10.3
414,Max Hall,ARI,QB,25,6,3,39,78,370,6,1,-5,0,0,0,0,5,2,370,1,78,-5,0,1,0,0,2.3
415,Lavelle Hawkins,TEN,WR,24,6,0,0,0,0,0,0,0,6,5,61,12.2,0,0,0,0,0,0,0,0,61,0,11.1
416,Brian Hoyer,NWE,QB,25,5,0,7,15,122,1,10,-8,0,0,0,0,0,0,122,1,15,-8,0,10,0,0,6.08
417,Roberto Wallace,MIA,WR,24,12,0,0,0,0,0,0,0,10,6,62,10.33,0,0,0,0,0,0,0,0,62,0,12.2
418,Eric Weems,ATL,WR,25,16,4,0,0,0,0,0,0,6,6,61,10.17,0,0,0,0,0,0,0,0,61,0,12.1
419,Terrence Austin,WAS,WR,22,5,0,0,0,0,0,0,0,5,3,47,15.67,0,0,0,0,0,0,0,0,47,0,7.7
420,Tim Castille,KAN,RB,26,10,4,0,0,0,0,5,3,12,10,43,4.3,0,0,0,0,0,3,0,5,43,0,14.6
421,Jim Dray,ARI,TE,24,16,3,0,0,0,0,0,0,9,3,47,15.67,0,0,0,0,0,0,0,0,47,0,7.7
422,Ryan Grant,GNB,RB,28,1,1,0,0,0,0,8,45,0,0,0,0,0,0,0,0,0,45,0,8,0,0,4.5
423,David Johnson,PIT,TE,23,16,5,0,0,0,0,0,0,6,4,46,11.5,0,0,0,0,0,0,0,0,46,0,8.6
424,Greg Jones,JAX,RB,29,16,13,0,0,0,0,2,4,11,11,47,4.27,0,0,0,0,0,4,0,2,47,0,16.1
425,Luke McCown,JAX,QB,29,1,0,11,19,120,0,1,4,0,0,0,0,0,0,120,0,19,4,0,1,0,0,5.2
426,Preston Parker,TAM,WR,23,9,0,0,0,0,0,1,7,9,4,42,10.5,0,0,0,0,0,7,0,1,42,0,8.9
427,Richard Bartel,ARI,QB,27,1,0,16,28,150,1,0,0,0,0,0,0,0,0,150,0,28,0,0,0,0,0,4
428,Brody Eldridge,IND,TE,23,14,8,0,0,0,0,0,0,9,5,39,7.8,0,0,0,0,0,0,0,0,39,0,8.9
429,Brandon James,IND,WR,23,3,0,0,0,0,0,0,0,11,6,40,6.67,0,0,0,0,0,0,0,0,40,0,10
430,Dwayne Jarrett,CAR,WR,24,3,0,0,0,0,0,0,0,5,2,40,20,0,0,0,0,0,0,0,0,40,0,6
431,Gartrell Johnson,ATL,RB,24,9,0,0,0,0,0,10,36,5,3,6,2,1,0,0,0,0,36,0,10,6,0,7.2
432,Reggie Kelly,CIN,TE,33,16,14,0,0,0,0,0,0,13,10,42,4.2,0,0,0,0,0,0,0,0,42,0,14.2
433,Nick Miller,OAK,WR,23,9,0,0,0,0,0,0,0,4,3,40,13.33,2,0,0,0,0,0,0,0,40,0,7
434,Taylor Price,NWE,WR,23,1,0,0,0,0,0,0,0,4,3,41,13.67,0,0,0,0,0,0,0,0,41,0,7.1
435,Ryan Purvis,TAM,TE,24,10,2,0,0,0,0,0,0,6,5,38,7.6,0,0,0,0,0,0,0,0,38,0,8.8
436,Tony Richardson,NYJ,RB,39,16,10,0,0,0,0,5,13,5,5,31,6.2,0,0,0,0,0,13,0,5,31,0,9.4
437,Mickey Shuler,MIA,TE,24,6,2,0,0,0,0,0,0,5,2,44,22,0,0,0,0,0,0,0,0,44,0,6.4
438,Stephen Spach,ARI,TE,28,15,11,0,0,0,0,0,0,17,7,40,5.71,0,0,0,0,0,0,0,0,40,0,11
439,Jerramy Stevens,TAM,TE,31,5,1,0,0,0,0,0,0,5,3,43,14.33,0,0,0,0,0,0,0,0,43,0,7.3
440,Albert Young,MIN,RB,25,3,0,0,0,0,0,13,29,2,2,11,5.5,0,0,0,0,0,29,0,13,11,0,6
441,Lorenzo Booker,MIN,RB,26,4,0,0,0,0,0,0,0,6,5,32,6.4,1,1,0,0,0,0,0,0,32,0,6.2
442,Nate Byham,SFO,TE,22,14,3,0,0,0,0,0,0,7,5,27,5.4,0,0,0,0,0,0,0,0,27,0,7.7
443,Rock Cartwright,OAK,RB,31,16,0,0,0,0,0,9,22,3,1,10,10,0,0,0,0,0,22,0,9,10,0,4.2
444,Chase Coffman,CIN,TE,24,6,0,0,0,0,0,0,0,5,3,30,10,0,0,0,0,0,0,0,0,30,0,6
445,Mike Cox,KAN,RB,25,7,2,0,0,0,0,0,0,4,4,27,6.75,0,0,0,0,0,0,0,0,27,0,6.7
446,Jeff Dugan,MIN,TE,29,16,4,0,0,0,0,2,2,5,4,30,7.5,0,0,0,0,0,2,0,2,30,0,7.2
447,Jonathan Dwyer,PIT,RB,21,1,0,0,0,0,0,9,28,0,0,0,0,0,0,0,0,0,28,0,9,0,0,2.8
448,Quinton Ganther,2TM,RB,26,11,1,0,0,0,0,9,18,3,2,9,4.5,0,0,0,0,0,18,0,9,9,0,4.7
449,Richard Goodman,SDG,WR,23,3,0,0,0,0,0,0,0,2,1,25,25,1,1,0,0,0,0,0,0,25,0,1.5
450,Quinn Johnson,GNB,RB,24,11,4,0,0,0,0,0,0,4,3,26,8.67,0,0,0,0,0,0,0,0,26,0,5.6
451,Mike Karney,STL,RB,29,12,5,0,0,0,0,6,12,5,5,14,2.8,0,0,0,0,0,12,0,6,14,0,7.6
452,Shawn Nelson,BUF,TE,25,5,1,0,0,0,0,0,0,4,3,25,8.33,1,1,0,0,0,0,0,0,25,0,3.5
453,Jake O'Connell,KAN,TE,25,15,2,0,0,0,0,0,0,4,3,31,10.33,0,0,0,0,0,0,0,0,31,0,6.1
454,Kevin Ogletree,DAL,WR,23,6,0,0,0,0,0,0,0,6,3,34,11.33,0,0,0,0,0,0,0,0,34,0,6.4
455,Patrick Turner,NYJ,WR,23,5,0,0,0,0,0,0,0,2,2,26,13,0,0,0,0,0,0,0,0,26,0,4.6
456,Lawrence Vickers,CLE,RB,27,16,4,0,0,0,0,5,11,9,4,15,3.75,0,0,0,0,0,11,0,5,15,0,6.6
457,Derrick Williams,DET,WR,24,7,1,0,0,0,0,0,0,5,3,30,10,0,0,0,0,0,0,0,0,30,0,6
458,Brandon Banks,WAS,WR,23,13,0,0,0,0,0,2,6,5,2,10,5,2,0,0,0,0,6,0,2,10,0,3.6
459,Hank Baskett,2TM,WR,28,8,0,0,0,0,0,0,0,4,1,18,18,0,0,0,0,0,0,0,0,18,0,2.8
460,Michael Bennett,OAK,RB,32,7,0,0,0,0,0,2,11,2,2,9,4.5,0,0,0,0,0,11,0,2,9,0,4
461,Brock Bolen,JAX,RB,25,4,0,0,0,0,0,0,0,3,1,15,15,0,0,0,0,0,0,0,0,15,0,2.5
462,Michael Clayton,NYG,WR,28,6,0,0,0,0,0,0,0,4,2,19,9.5,0,0,0,0,0,0,0,0,19,0,3.9
463,Thomas Clayton,2TM,RB,26,3,0,0,0,0,0,7,17,0,0,0,0,0,0,0,0,0,17,0,7,0,0,1.7
464,Quan Cosby,CIN,WR,28,16,0,0,0,0,0,0,0,2,2,16,8,0,0,0,0,0,0,0,0,16,0,3.6
465,Chase Daniel,NOR,QB,24,13,0,2,3,16,0,2,16,0,0,0,0,1,0,16,0,3,16,0,2,0,0,2.24
466,Caleb Hanie,CHI,QB,25,2,0,5,7,55,0,1,-1,0,0,0,0,0,0,55,0,7,-1,0,1,0,0,2.1
467,Kareem Huggins,TAM,RB,24,3,0,0,0,0,0,4,11,2,1,7,7,0,0,0,0,0,11,0,4,7,0,2.8
468,Byron Leftwich,PIT,QB,30,1,0,5,7,42,0,0,0,0,0,0,0,0,0,42,0,7,0,0,0,0,0,1.68
469,Reagan Maui'a,ARI,RB,26,15,4,0,0,0,0,0,0,6,2,20,10,0,0,0,0,0,0,0,0,20,0,4
470,Garrett Mills,PHI,TE,27,7,3,0,0,0,0,0,0,3,2,19,9.5,0,0,0,0,0,0,0,0,19,0,3.9
471,Moran Norris,SFO,RB,32,16,11,0,0,0,0,3,0,9,4,20,5,0,0,0,0,0,0,0,3,20,0,6
472,Jerious Norwood,ATL,RB,27,2,0,0,0,0,0,2,8,3,1,9,9,0,0,0,0,0,8,0,2,9,0,2.7
473,Fendi Onobun,STL,TE,24,3,0,0,0,0,0,0,0,4,2,15,7.5,0,0,0,0,0,0,0,0,15,0,3.5
474,Tyler Palko,KAN,QB,27,2,0,4,6,35,0,2,5,0,0,0,0,0,0,35,0,6,5,0,2,0,0,1.9
475,Tony Pike,CAR,QB,24,1,0,6,12,47,0,0,0,0,0,0,0,0,0,47,0,12,0,0,0,0,0,1.88
476,Zach Potter,JAX,TE,24,13,1,0,0,0,0,0,0,7,3,24,8,0,0,0,0,0,0,0,0,24,0,5.4
477,David Reed,BAL,WR,23,13,0,0,0,0,0,1,15,1,0,0,0,0,0,0,0,0,15,0,1,0,0,1.5
478,Matt Willis,DEN,WR,26,6,0,0,0,0,0,0,0,2,1,17,17,0,0,0,0,0,0,0,0,17,0,2.7
479,Sam Aiken,CLE,WR,30,3,0,0,0,0,0,0,0,1,1,7,7,0,0,0,0,0,0,0,0,7,0,1.7
480,Kyle Boller,OAK,QB,29,5,0,2,4,25,1,7,18,0,0,0,0,1,0,25,0,4,18,0,7,0,0,0.8
481,Curtis Brinkley,SDG,RB,25,3,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,11,0,2,0,0,1.1
482,David Carr,SFO,QB,31,1,0,5,13,67,1,0,0,0,0,0,0,0,0,67,0,13,0,0,0,0,0,0.68
483,Scott Chandler,2TM,TE,25,13,1,0,0,0,0,0,0,3,1,8,8,0,0,0,0,0,0,0,0,8,0,1.8
484,Desmond Clark,CHI,TE,33,5,0,0,0,0,0,0,0,2,1,12,12,0,0,0,0,0,0,0,0,12,0,2.2
485,Kevin Curtis,MIA,WR,32,2,0,0,0,0,0,1,6,2,1,6,6,0,0,0,0,0,6,0,1,6,0,2.2
486,Armanti Edwards,CAR,WR,22,3,0,1,1,0,0,1,7,2,0,0,0,1,0,0,0,1,7,0,1,0,0,0.7
487,Yamon Figurs,2TM,WR,27,2,0,0,0,0,0,1,-4,2,2,17,8.5,1,0,0,0,0,-4,0,1,17,0,3.3
488,Korey Hall,GNB,RB,27,12,6,0,0,0,0,0,0,1,1,9,9,0,0,0,0,0,0,0,0,9,0,1.9
489,Ben Hartsock,NYJ,TE,30,16,7,0,0,0,0,0,0,3,1,7,7,0,0,0,0,0,0,0,0,7,0,1.7
490,Madison Hedgecock,NYG,RB,29,4,3,0,0,0,0,0,0,2,2,8,4,0,0,0,0,0,0,0,0,8,0,2.8
491,Paul Hubbard,BUF,WR,25,1,1,0,0,0,0,0,0,3,1,8,8,0,0,0,0,0,0,0,0,8,0,1.8
492,Tory Humphrey,NOR,WR,27,6,2,0,0,0,0,0,0,2,1,12,12,0,0,0,0,0,0,0,0,12,0,2.2
493,Manuel Johnson,DAL,WR,24,2,0,0,0,0,0,0,0,5,1,6,6,0,0,0,0,0,0,0,0,6,0,1.6
494,Erik Lorig,TAM,TE,24,9,1,0,0,0,0,0,0,2,1,10,10,0,0,0,0,0,0,0,0,10,0,2
495,Kregg Lumpkin,TAM,RB,26,11,0,0,0,0,0,1,0,1,1,12,12,0,0,0,0,0,0,0,1,12,0,2.2
496,Carlton Mitchell,CLE,WR,22,5,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,9,0,1,0,0,0.9
497,Jordan Palmer,CIN,QB,26,1,0,3,3,18,0,0,0,0,0,0,0,0,0,18,0,3,0,0,0,0,0,0.72
498,Cedric Peerman,CIN,RB,24,7,0,0,0,0,0,2,1,3,1,11,11,0,0,0,0,0,1,0,2,11,0,2.2
499,Chad Pennington,MIA,QB,34,1,1,1,2,19,0,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0.76
500,Chris Pressley,2TM,RB,24,7,0,0,0,0,0,1,0,1,1,6,6,0,0,0,0,0,0,0,1,6,0,1.6
501,Richard Quinn,DEN,TE,24,14,4,0,0,0,0,0,0,2,1,9,9,0,0,0,0,0,0,0,0,9,0,1.9
502,Chris Redman,ATL,QB,33,2,0,4,6,20,0,1,-1,0,0,0,0,0,0,20,0,6,-1,0,1,0,0,0.7
503,Alex Smith,CLE,TE,28,3,1,0,0,0,0,0,0,1,1,6,6,0,0,0,0,0,0,0,0,6,0,1.6
504,Kyle Williams,SFO,WR,22,5,0,0,0,0,0,0,0,1,1,8,8,0,0,0,0,0,0,0,0,8,0,1.8
505,Garrett Wolfe,CHI,RB,26,16,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0.8
506,Andre' Anderson,BUF,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,Deon Anderson,DAL,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,Jake Ballard,NYG,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,Gary Banks,SDG,WR,29,2,2,0,0,0,0,0,0,3,1,2,2,0,0,0,0,0,0,0,0,2,0,1.2
510,Gary Barnidge,CAR,0,25,16,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,Arnaz Battle,PIT,0,30,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,Joique Bell,2TM,0,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,Chris Brooks,IND,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,Andre Brown,2TM,RB,24,4,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,0,0,-1,0,2,0,0,-0.1
515,Duke Calhoun,NYG,WR,23,9,0,0,0,0,0,0,0,2,1,4,4,0,0,0,0,0,0,0,0,4,0,1.4
516,Jehuu Caulcrick,BUF,RB,27,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0.2
517,Brian Clark,DET,0,27,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,Colin Cloherty,SFO,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,Daniel Coats,2TM,0,26,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,Brodie Croyle,KAN,QB,27,2,1,8,19,38,1,0,0,0,0,0,0,0,0,38,0,19,0,0,0,0,0,-0.48
521,Victor Cruz,NYG,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,Jeff Cumberland,NYJ,TE,23,1,0,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,0,0,0,3,0,1.3
523,Dominique Curry,STL,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,Britt Davis,DEN,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,Garrett Graham,HOU,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,Clark Harris,CIN,0,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,Chris Henry,SEA,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,Lex Hilliard,MIA,RB,26,16,0,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,0,0,0,3,0,1.3
529,Jesse Holley,DAL,0,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,Jeremy Horne,KAN,0,24,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,Rashawn Jackson,CAR,0,23,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,Brian Jennings,SFO,0,34,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,Darcy Johnson,STL,0,27,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,Jerome Johnson,ARI,0,25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,Larry Johnson,WAS,RB,31,2,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0.2
536,Onrea Jones,ARI,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,Billy Latsko,SDG,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538,Mike Leach,ARI,0,34,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539,Elbert Mack,TAM,0,24,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-2
540,Charly Martin,CAR,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,Jeron Mastrud,MIA,0,23,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,John Matthews,JAX,0,24,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,Anthony McCoy,SEA,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,Lonyae Miller,DAL,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,Devin Moore,IND,RB,25,4,0,0,0,0,0,2,-2,0,0,0,0,2,1,0,0,0,-2,0,2,0,0,-2.2
546,Kenny Moore,IND,0,25,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,-2
547,Matthew Mulligan,NYJ,0,25,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,John Nalbone,MIA,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549,Dan Orlovsky,HOU,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,Montell Owens,JAX,0,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,Jalen Parmele,BAL,0,25,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
552,Dennis Pitta,BAL,TE,25,11,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,1,0,1.1
553,Courtney Roby,NOR,0,27,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-2
554,Sage Rosenfels,NYG,QB,32,12,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,-3,0,3,0,0,-0.3
555,Martin Rucker,DAL,0,25,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,Derek Schouman,STL,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,Chad Simpson,WAS,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,Matthew Slater,NWE,0,25,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,Alfonso Smith,ARI,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,Antone Smith,ATL,RB,25,9,0,0,0,0,0,1,-3,1,0,0,0,0,0,0,0,0,-3,0,1,0,0,-0.3
561,Marcus Smith,BAL,0,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,Rusty Smith,TEN,QB,23,2,1,20,40,200,4,0,0,0,0,0,0,0,0,200,0,40,0,0,0,0,0,0
563,Taj Smith,IND,0,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,Justin Snow,IND,0,34,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,Devin Thomas,3TM,0,24,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Derrick Townsel,HOU,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,Billy Volek,SDG,QB,34,3,0,1,1,8,0,6,-5,0,0,0,0,0,0,8,0,1,-5,0,6,0,0,-0.18
568,Chauncey Washington,STL,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,Leonard Weaver,PHI,RB,28,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
570,Ernest Wilford,JAX,TE,31,2,0,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,0,0,0,3,0,1.3
571,Demetrius Williams,CLE,0,27,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,George Wilson,BUF,0,29,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,DeShawn Wynn,2TM,0,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,Joe Zelenka,ATL,0,34,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,Levi Brown,BUF,QB,23,1,0,2,3,24,1,0,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,-1.04
576,Brian Brohm,BUF,QB,25,1,1,10,23,106,3,0,0,0,0,0,0,1,1,106,0,23,0,0,0,0,0,-3.76
577,Todd Collins,CHI,QB,39,2,1,10,27,68,5,0,0,0,0,0,0,0,0,68,0,27,0,0,0,0,0,-7.28
,Montario Hardesty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
