,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
65,Tony Gonzalez,ATL,TE,34,16,16,0,0,0,0,0,0,108,70,656,9.37,0,0,0,0,0,0,0,0,656,6,171.6
66,Derrick Mason,BAL,WR,36,16,15,0,0,0,0,0,0,100,61,802,13.15,0,0,0,0,0,0,0,0,802,7,183.2
67,Brandon Jacobs,NYG,RB,28,16,5,0,0,0,0,147,823,13,7,59,8.43,2,2,0,0,0,823,9,147,59,0,145.2
68,Dustin Keller,NYJ,TE,26,16,13,0,0,0,0,0,0,100,55,687,12.49,0,0,0,0,0,0,0,0,687,5,153.7
69,Zach Miller,OAK,TE,25,15,15,0,0,0,0,0,0,92,60,685,11.42,1,0,0,0,0,0,0,0,685,5,158.5
70,Brandon Marshall,MIA,WR,26,14,14,0,1,0,0,2,3,146,86,1014,11.79,2,1,0,0,1,3,0,2,1014,3,203.7
71,Jahvid Best,DET,RB,21,16,9,0,1,0,0,171,555,80,58,487,8.4,1,1,0,0,1,555,4,171,487,2,196.2
72,Aaron Hernandez,NWE,TE,21,14,7,0,0,0,0,3,47,64,45,563,12.51,0,0,0,0,0,47,0,3,563,6,142
73,Deion Branch,2TM,WR,31,15,12,0,0,0,0,0,0,92,61,818,13.41,1,0,0,0,0,0,0,0,818,6,178.8
74,Marquis Johnson,STL,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,LeGarrette Blount,TAM,RB,24,13,7,0,0,0,0,201,1007,7,5,14,2.8,4,3,0,0,0,1007,6,201,14,0,137.1
76,J.P. Foschi,CIN,0,28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Mike Thomas,JAX,WR,23,16,11,0,0,0,0,12,114,102,66,820,12.42,3,1,0,0,0,114,0,12,820,4,181.4
78,Matt Cassel,KAN,QB,28,15,15,262,450,3116,7,33,125,0,0,0,0,3,1,3116,27,450,125,0,33,0,0,229.14
79,Carson Palmer,CIN,QB,31,16,16,362,586,3970,20,32,50,0,0,0,0,7,3,3970,26,586,50,0,32,0,0,221.8
80,David Garrard,JAX,QB,32,14,14,236,366,2734,15,66,279,0,0,0,0,11,4,2734,23,366,279,5,66,0,0,221.26
81,Jay Cutler,CHI,QB,27,15,15,261,432,3274,16,50,232,0,0,0,0,10,6,3274,23,432,232,1,50,0,0,208.16
82,Kyle Orton,DEN,QB,28,13,13,293,498,3653,9,22,98,0,0,0,0,4,5,3653,20,498,98,0,22,0,0,207.92
